Date,Service Visit,Cinema Name,Address,Contact Details ,Screen No:,Projector Model,Serial No.,Lamp Model & Make,Engineer Visited,Projector Number of hours running:,Lamp Number of hours running:,Reflector,UV filter,Integrator Rod,Cold Mirror,Fold Mirror,Touch Panel,EVB Board,IMCB Board/s,PIB Board,ICP Board,IMB/S Board,Chassis label vs Touch Panel,"LE, LAD and RAD",Level and Color,White,Red,Green,Blue,Black,AC blower and Vane Switch,Extractor Vane Switch,Exhaust CFM,Light Engine 4 fans with LAD fan,Card Cage Top and Bottom fans,Radiator fan and Pump,Connector and hose for the Pump,Security and lamp house lock switch,"Lamp LOC Mechanism X,Y and Z movement",YES1,Yes2,YES3,YES4,YES5,YES6,YES7,YES8,YES9,YES10,YES11,YES12,YES13,YES14,YES15,YES16,YES17,YES18,YES19,YES20,YES21,YES22,YES23,YES24,YES25,YES26,YES27,YES28,LE Status,Current Lamp Hours,AC Status,LE S No, P V N,P V E,N VS E,  fL_B,  fL_A,Content player model,Room,Remark_1,Remark_2,Remark_3,Remark_4,Remark_5,Remark_6,P1,P2,P3,P4,P5,P6,PN1,PN2,PN3,PN4,PN5,PN6,photo,Scope_H,Scope_W,Flat_H,Flat_W,Screen Make,Throw Distance,Gain,x,y,fl,x2,y2,fl2,W2Kx,W4Kx,R2Kx,R4Kx,G2Kx,G4Kx,B2Kx,B4Kx,W2Ky,W4Ky,R2Ky,R4Ky,G2Ky,G4Ky,B2Ky,B4Ky,W2Kfl,W4Kfl,R2Kfl,R4Kfl,G2Kfl,G4Kfl,B2Kfl,B4Kfl,Software Version,Air Pollution Level,HCHO,TVOC,PM 1,PM 2.5,PM 10,Temperature,Humidity,Focus,Intergrator,Any Spot on Screen after PPM,Check Screen cropping - FLAT and SCOPE,Convergence checked,"Channels Checked - Scope, Flat, Alternative",Pixel Defects,Excessive Image Vibration,LiteLOC
"Monday, January 01, 2024",First Record,Test Record,Test Record,Test Record,x,CP2220,x,Sample_Data,First Row,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,C1234567890,x,x,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,First Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tuesday, January 02, 2024",First,PVR INOX Cinema,Ambience Island Gurugram Haryana,Mr. Mukesh Kumar - 9891348472,2,CP2230,268968016,OSRAM - 3KW DTP,Manoj,65391,55190,-,-,Chipped from Light Source,-,-,CMOS Battery to be replaced,-,-,-,-,-,-,Replaced,Coolant Replaced,-,-,-,-,-,-,-,-,-,One top fan need to be replaced,-,-,-,-,OK,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,OK,OK,OK,-,-,YES,OK,OK,OK,OK,-,-,-,-,229,228,1,14.5,18.7,Doremi DCP2000,Dusty,"Service done, working ok.",AC blower stand uprooted from projector body,TPC Harness to be replaced,-,-,-,Integrator Rod Assembly,Fan 12V 0.45A 4-Wire 60mm,-,-,-,-,03-240100-51P,003-111381-01,-,-,-,-,https://drive.google.com/drive/folders/1frU61O0T0l66qr1QkMY19Z8edIal4VbG,-,-,-,-,-,18.23,-,0.3149,0.3508,8.588,-,-,-,0.2996,-,0.6699,-,0.2746,-,0.1429,-,0.3431,-,0.3221,-,0.6801,-,0.1429,-,10.32,-,2.015,-,7.707,-,0.6938,-,4.8.0 (8),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wednesday, January 03, 2024",First,PVR INOX Cinema,Shipra Mall Indrapuram Ghaziabad,Mr. Sachin Kumar - 8708083493,3,CP2220,265533008,OSRAM - 3KW DTP,Manoj,30925,22390,-,-,-,-,-,-,-,-,-,-,Running without faceplate,-,Need to be replaced,Topup done,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,YES,YES,OK,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,227,1,10.8,15.1,GDC IMB,Dusty,"Service done, working ok.",Projector foot shoes are missing,Projector rack height not appropriate ,Screen to be masked from top edge,IMB Face plate required,-,ASSY Foot Leveling,-,-,-,-,-,003-001193-01,-,-,-,-,-,https://drive.google.com/drive/folders/1IyPEYOXWCgRLnsWjbSC9BVKgiHscpDnc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.0 (6),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thursday, January 04, 2024",First,PVR INOX Cinema,Ambience Island Gurugram Haryana,Mr. Mukesh Kumar - 9891348472,7,CP4230,342116008,OSRAM - 6KW,Manoj,53748,45537,Alarming- Slightly Crack,-,Alarming- Slightly Crack,-,-,-,-,-,-,-,-,-,-,Coolant Replaced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,YES,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,-,OK,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,10.4,14.9,Doremi DCP2000,Dusty,"Service done, working ok.",Lamp Light cover need to replace,Red and Green DMD Elephant Shroud required,-,-,-,"12"" Glass Reflector",Integrator Rod & Holder Assembly,Plastic Blower Duct,Kit Duct 4K Red FPGA,Kit Duct 4K Green FPGA,-,03-240115-51P,003-102035-01,003-005452-01,000-102299-02,003-004777-01,-,https://drive.google.com/drive/folders/1d2LzfrsYF_Z6Mc5Y9phs6ltWR9TLHm4Q,-,-,-,-,-,17.64,-,-,-,-,0.3143,0.3503,8.444,-,0.3156,-,0.6709,-,0.2608,-,0.1419,-,0.3312,-,0.3263,-,0.6922,-,0.0514,-,9.588,-,2.412,-,6.547,-,0.6244,4.8.0 (8),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wednesday, January 31, 2024",First,PVR INOX Cinema,Select City Walk Saket Delhi,Mr. Anil Gupta - 8700964342,5,CP2220,285271006,OSRAM - 3KW DTP,Manoj,73779,60763,-,-,-,-,-,-,-,-,-,-,-,-,Replaced,Coolant Replaced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,227,1,12.1,17.3,Dolby IMS3000,Dusty,"Service done, working ok.",Exhaust temprature sensor is soldered,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1xohA-CcnbVrIv_9FvdP6H_4YOrAmH94E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thursday, February 01, 2024",First,PVR INOX Cinema,Pacific Mall Subash Nagar Delhi,Mr. Vicky - 9599650176,3,CP2220,259574003,OSRAM - 3KW DTP,Manoj,75187,65503,Alarming- Slightly crack,-,-,-,-,-,-,-,-,-,-,-,Replaced,Coolant Replaced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,11.1,13.2,Doremi DCP2000,Dusty,"Service done, working ok.",Reflector slightly cracked from cathode side.,-,-,-,-,Optical Reflector & Cooling Duct,-,-,-,-,-,003-001189-01,-,-,-,-,-,https://drive.google.com/drive/folders/15qe-Mc0aQUduBYj8KRwmEIif5O1_QUgF,6,14,-,-,Harkness,20,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Monday, February 05, 2024",First,PVR INOX Cinema,Infinity Mall Malad Mumbai,Mr. Shailesh - 9833010825,5,CP2220,269530020,OSRAM - 3KW DTS,Satish,71174,64657,-,-,-,-,-,-,-,-,-,-,-,Mismatch,Need to be replaced,-,Alarming- Colour Spot on unfocused,Alarming- Colour Spot on unfocused,Alarming- Colour Spot on unfocused,-,-,Vane switch need to be replaced,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,YES,OK,-,-,-,-,OK,YES,-,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,12.8,15.4,Doremi DCP2000,OK,"Service done, working ok.",LE/RAD/LAD Filters need to be replaced,LE need to be factory serviced,AC Blower vane switch need to be replaced,-,-,Vane Extractor Duct,-,-,-,-,-,003-003701-02,-,-,-,-,-,https://drive.google.com/drive/folders/1gVNRD_9Xh56iTbcMPLGnoV4bvu_ynveW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thursday, February 08, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Chikkaningaiah - 9008339599,4,CP2220,347710006,OSRAM - 3KW DTS,Manoj,43186,39481,-,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,-,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,16,18,ShowVault-IMB,Dusty,"Service done, working ok.",LE require factory cleaning.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1qhW6B0w9fO5nh6ZWyCin2YLCfxrw2mrZ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thursday, February 08, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Chikkaningaiah - 9008339599,1,CP2220,347710011,OSRAM - 3KW DTS,Manoj,43921,40420,-,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,One top fan need to be replaced,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,-,OK,OK,-,-,YES,OK,OK,OK,OK,-,-,-,-,229,228,1,13.5,14.5,ShowVault-IMB,Dusty,"Service done, working ok.",LE require factory cleaning.,Lamp Door interlock harness need to be replaced,-,-,-,Fan 12V 0.45A 4-Wire 60mm,-,-,-,-,-,003-111381-01,-,-,-,-,-,https://drive.google.com/drive/folders/1_Alh_je_yY069nXKhEAl4YI-bDiiFpvs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Friday, February 09, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Chikkaningaiah - 9008339599,6,CP2220,348340005,OSRAM - 3KW DTP,Satish,43909,40017,-,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,-,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,229,1,20,23.6,ShowVault-IMB,Dusty,"Service done, working ok.",Back Pannel can be replaced,LE need to be factory serviced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1Vn1mgUhlPxHUwSSlPo7xO92V1VDMiWAe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
